-
-
cfab1ba8c67c7c838db98d666f02a132
[11.4.2021 | 1:29:16] {"type":"cmd","data":"run"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:19] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":24,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4104,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:20] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":6144,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2560,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:21] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":320,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:22] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:23] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:23] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:23] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:23] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":96,"gpioe":0,"modeltime":0,"type":"gpio"}
,[11.4.2021 | 1:29:23] {"client-id":"31fbe8e8-65e6-4c76-883f-c0ebff995e08","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":48,"gpioe":0,"modeltime":0,"type":"gpio"}
